video,width,height,fps,frame_count,duration_sec,passed_screen,target_ts_sec,used_ts_sec,image,status,message
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_26/DJI/DJI_0300.MP4,1920.0,1080.0,23.976023976023978,22328.0,931.264,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_26/DJI/DJI_0300_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_26/DJI/DJI_0301.MP4,1920.0,1080.0,23.976023976023978,22328.0,931.264,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_26/DJI/DJI_0301_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_26/DJI/DJI_0302.MP4,1920.0,1080.0,23.976023976023978,22338.0,931.681,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_26/DJI/DJI_0302_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_26/DJI/DJI_0303.MP4,1920.0,1080.0,23.976023976023978,22334.0,931.514,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_26/DJI/DJI_0303_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_26/DJI/DJI_0304.MP4,1920.0,1080.0,23.976023976023978,22902.0,955.204,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_26/DJI/DJI_0304_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_26/DJI/DJI_0305.MP4,1920.0,1080.0,23.976023976023978,24065.0,1003.711,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_26/DJI/DJI_0305_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_26/DJI/DJI_0306.MP4,1920.0,1080.0,23.976023976023978,29580.0,1233.732,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_26/DJI/DJI_0306_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_26/DJI/DJI_0307.MP4,1920.0,1080.0,23.976023976023978,139.0,5.797,False,,,,skipped,screen_reject
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_26/DJI/DJI_0271.MP4,1920.0,1080.0,23.976023976023978,22310.0,930.513,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_26/DJI/DJI_0271_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_26/DJI/DJI_0272.MP4,1920.0,1080.0,23.976023976023978,22313.0,930.638,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_26/DJI/DJI_0272_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_26/DJI/DJI_0273.MP4,1920.0,1080.0,23.976023976023978,22317.0,930.805,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_26/DJI/DJI_0273_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_26/DJI/DJI_0274.MP4,1920.0,1080.0,23.976023976023978,22317.0,930.805,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_26/DJI/DJI_0274_t300.000s.jpg,ok,
